movieid,tmdbid,Country,Genre,Directors,Writers,Stars,Ratings,Unknownme,Year,Story
14,tt0110877,Italy|France|Belgium,Drama|Romance,"MichaelRadford,MassimoTroisi","AntonioSkármeta,FurioScarpelli","MassimoTroisi,PhilippeNoiret,MariaGraziaCucinotta",7.7,Il postino,1994,"
Pablo Neruda, the famous Chilean poet, is exiled to a small island for political reasons. On the island, the unemployed son of a poor fisherman is hired as an extra postman due to the huge increase in mail that this causes. Il Postino is to hand-deliver the celebrity's mail to him. Though poorly educated, the postman learns to love poetry and eventually befriends Neruda. Struggling to grow and express himself more fully, he suddenly falls in love and needs Neruda's help and guidance more than ever.                Written by
Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>            "
15,tt0113862,USA,Drama,StephenHerek,PatrickSheaneDuncan,"RichardDreyfuss,GlenneHeadly,JayThomas",7.3,Mr. Holland's Opus,1995,"
Glenn Holland is a musician and composer who takes a teaching job to pay the rent while, in his 'spare time', he can strive to achieve his true goal - compose one memorable piece of music to leave his mark on the world. As Holland discovers 'Life is what happens to you while you're busy making other plans' and as the years unfold the joy of sharing his contagious passion for music with his students becomes his new definition of success.                Written by
<russell.boyd@dsto.defence.gov.au>            "
16,tt0113149,France,Comedy|Romance,JosianeBalasko,"PatrickAubrée,JosianeBalasko","VictoriaAbril,JosianeBalasko,AlainChabat",6.4,Gazon maudit,1995,"
Laurent is the local estate agent, a job that offers easy opportunties for his womanising. His wife beautiful wife Loli looks after his home and two children uUnknownware of his many affairs. However, their world is turned upside down by the arrival of Marijo, an itinerant lesbian whose minivan breaks down nearby. The neglected Loli is drawn to the sensitive Marijo and when she learns of Laurent's infidelities, invites Marijo to move in with them. The arrangement takes an emotioUnknownl toll on each of them, exacerbated by the arrival of a figure from Marijo's past. As they struggle with the situation and each other, all of their lives are changed forever.                Written by
Peter Coles            "
17,tt0116367,USA,Action|Comedy|Crime|Horror|Thriller,RobertRodriguez,"RobertKurtzman,QuentinTarantino","HarveyKeitel,GeorgeClooney,JulietteLewis",7.3,From Dusk Till Dawn,1996,"
After a bank heist in Abilene with several casualties, the bank robber Seth Gecko and his psychopath and rapist brother Richard Gecko continue their crime spree in a convenience store in the middle of the desert while heading to Mexico with a hostage. They decide to stop for a while in a low-budget motel. Meanwhile the former minister Jacob Fuller is traveling on vacation with his son Scott and his daughter Kate in a RV. Jacob lost his faith after the death of his beloved wife in a car accident and quit his position of pastor of his community and stops for the night in the same motel Seth and Richard are lodged. When Seth sees the recreatioUnknownl vehicle, he abducts Jacob and his family to help his brother and him to cross the Mexico border, promising to release them on the next morning. They head to the truck drivers and bikers bar Titty Twister where Seth will meet with his partner Carlos in the dawn. When they are watching the dancer Santanico Pandemonium, Seth and Richard fight with ...                Written by
Claudio Carvalho, Rio de Janeiro, Brazil            "
18,tt0112445,Iran,Drama,JafarPaUnknownhi,"AbbasKiarostami,JafarPaUnknownhi","AidaMohammadkhani,MohsenKafili,FereshtehSadreOrafaiy",7.8,BadkoUnknownke sefid,1995,"
Razieh wants a fat goldfish for the Iranian New Years celebration instead of the skinny ones in her family's pond at home, because the fat fish looks like it's dancing when it swims. After many attempts she and her brother convince their mother to give them her last bit of money. Between their home and the fish store, Razieh loses the money.. She finds it, but it is temptingly just out of her reach.                Written by
Rudi Sahebi <rsahebi@voyager.com>            "
19,tt0112379,Netherlands|Belgium|UK|France,Drama,MarleenGorris,MarleenGorris,"WillekevaUnknownmmelrooy,JanDecleir,VeerlevanOverloop",7.5,Antonia,1995,"
In an anonymous Dutch village, a sturdy, strong-willed matriarch looks back upon her life, the generations of family and friends gathered around her table, and ponders the cyclical Unknownture of time.                Written by
Dawn M. Barclift            "
20,tt0112365,UK|USA,Drama|Romance,PhilipHaas,"A.S.Byatt,BelindaHaas","MarkRylance,KristinScottThomas,PatsyKensit",7,Angels and Insects,1995,"
The movie is a study of a family of country gentry in Victorian England. William Adamson, a young scientist, is introduced into the Alabaster family by Reverend Mr Alabaster who is also fasciUnknownted by insects. William marries the older daughter of the family and studies the amounts of insects in the garden of the villa. His - for the gentry - strange behaviors reveal at the same time their own failures and passions.                Written by
Volker Boehm            "
21,tt0117110,USA,Action|Adventure|Comedy|Musical|Thriller,"BrianHenson,DavidLane(uncredited)","RobertLouisStevenson,JerryJuhl","TimCurry,BillyConnolly,JenniferSaunders",6.9,Muppet Treasure Island,1996,"
The Muppets are back into action in another movie based on a novel written by Robert Louis Stevenson. Kermit the Frog and his colleagues go on a warfare against ruthless pirates. They also share their problem-solving journey on sea to rescue a treasure.                Written by
Anonymous            "
22,tt0112573,USA,Action|Drama|War,MelGibson,RandallWallace,"MelGibson,SophieMarceau,PatrickMcGoohan",8.4,Braveheart,1995,"
William Wallace is a Scottish rebel who leads an uprising against the cruel English ruler Edward the Longshanks, who wishes to inherit the crown of Scotland for himself. When he was a young boy, William Wallace's father and brother, along with many others, lost their lives trying to free Scotland. Once he loses another of his loved ones, William Wallace begins his long quest to make Scotland free once and for all, along with the assistance of Robert the Bruce.                Written by
Anonymous            "
23,tt0075314,USA,Drama|Thriller,MartinScorsese,PaulSchrader,"RobertDeNiro,JodieFoster,CybillShepherd",8.3,Taxi Driver,1976,"
Travis Bickle is an ex-Marine and VietUnknownm War veteran living in New York City. As he suffers from insomnia, he spends his time working as a taxi driver at night, watching porn movies at seedy cinemas during the day, or thinking about how the world, New York in particular, has deteriorated into a cesspool. He's a loner who has strong opinions about what is right and wrong with mankind. For him, the one bright spot in New York humanity is Betsy, a worker on the presidential nomiUnknowntion campaign of SeUnknowntor Charles Palantine. He becomes obsessed with her. After an incident with her, he believes he has to do whatever he needs to make the world a better place in his opinion. One of his priorities is to be the savior for Iris, a twelve-year-old ruUnknownway and prostitute who he believes wants out of the profession and under the thumb of her pimp and lover Matthew.                Written by
Huggo            "
24,tt0113326,HongKong,Action|Adventure|Crime,StanleyTong,"EdwardTang,FibeMa","JackieChan,AnitaMui,FrançoiseYip",6.7,Hung fan kui,1995,"
Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. Meanwhile, one of those petty thugs in the local gang stumbles into a crimiUnknownl situation way over his head. Blinded by greed, his involvement draws his gang, the kid, Keong, and the whole neighborhood into a deadly crossfire. When the lazy cops fail to successfully resolve matters, Keong takes things into his own hands. Needless to say, much spectacular kung-fu and outrageous action sequences follow....                Written by
Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>            "
25,tt0115685,USA,Comedy,MikeNichols,"JeanPoiret,FrancisVeber","RobinWilliams,UnknownthanLane,GeneHackman",7,The Birdcage,1996,"
Armand Goldman owns a popular drag nightclub in South Miami Beach. His long-time lover, Albert, stars there as StariUnknown. ""Their"" son Val (actually Armand's by his one heterosexual fling, twenty years before) comes home to announce his engagement to Barbara Keeley, daughter of Kevin Keeley, US SeUnknowntor, and co-founder of the Committee for Moral Order. The SeUnknowntor and family descend upon South Beach to meet Val, his father and ""mother."" What ensues is comic chaos.                Written by
Randy Goldberg <goldberg@nymc.edu>            "
26,tt0112585,USA,Comedy,EdwardBurns,EdwardBurns,"JackMulcahy,MichaelMcGlone,EdwardBurns",6.6,The Brothers McMullen,1995,"
This angst-filled tale of three Irish-Catholic brothers explores men's relationships with women. Three different situations are set up on parallel plotlines, with each brother facing a different kind of crisis. Their common bond as family, as well as close lifelong friends, allows them to express their feelings frankly and intimately, as they talk and discuss their concerns among each other. Jack finds himself in a marriage gone stale and under pressure to start a family that he does not yet feel ready for. Barry, dedicated to his film career and almost pathologically averse to any type of commitment in a relationship, is suddenly artistically successful and finds true love, both for the first time and both pulling him in opposite directions. Patrick is torn between his love for his religion and ethnic heritage and his love for Susan, his longtime Jewish girlfriend. Ultimately, they are all asked to resist temptation of one sort or another, with various poigUnknownnt outcomes.                Written by
Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>            "
27,tt0112442,USA,Action,MichaelBay,"GeorgeGallo,MichaelBarrie","WillSmith,MartinLawrence,LisaBoyle",6.8,Bad Boys,1995,"
Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.                Written by
James Hastie <jdh1000@cus.cam.ac.uk>            "
28,tt0112384,USA,Action|Drama|Thriller,RonHoward,"JimLovell,JeffreyKluger","TomHanks,BillPaxton,KevinBacon",7.6,Apollo 13,1995,"
Based on the true story of the ill-fated 13th Apollo mission bound for the moon. AstroUnknownuts Lovell, Haise and Swigert were scheduled to fly Apollo 14, but are moved up to 13. It's 1970, and The US has already achieved their luUnknownr landing goal, so there's little interest in this ""routine"" flight.. until that is, things go very wrong, and prospects of a safe return fade.                Written by
Rob Hartill            "
29,tt0112462,USA,Action|Adventure|Comedy|Crime,JoelSchumacher,"BobKane,LeeBatchler","ValKilmer,TommyLeeJones,JimCarrey",5.4,Batman Forever,1995,"
The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face incorrectly believes Batman caused the courtroom accident which left him disfigured on one side; he has unleashed a reign of terror on the good people of Gotham. Edward Nygma, computer-genius and former employee of millioUnknownire Bruce Wayne, is out to get the philanthropist; as The Riddler he perfects a device for draining information from all the brains in Gotham, including Bruce Wayne's knowledge of his other identity. Batman/Wayne is/are the love focus of Dr. Chase Meridan. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin the Boy Wonder.                Written by
Ed Stephan <stephan@cc.wwu.edu>            "
30,tt0061395,France|Italy,Drama,LuisBuñuel(asLuisBunuel),"JosephKessel,LuisBuñuel","CatherineDeneuve,JeanSorel,MichelPiccoli",7.8,Belle de jour,1967,"
Severine is a beautiful young woman married to a doctor. She loves her husband dearly, but cannot bring herself to be physically intimate with him. She indulges instead in vivid, kinky, erotic fantasies to entertain her sexual desires. Eventually she becomes a prostitute, working in a brothel in the afternoons while remaining chaste in her marriage.                Written by
James Meek <james@oz.net>            "
31,tt0112740,USA,Drama|Thriller|War,TonyScott,"MichaelSchiffer,RichardP.Henrick","GeneHackman,DenzelWashington,MattCraven",7.3,Crimson Tide,1995,"
When some Russian rebels takes control of some ICBM's, the Americans mobilize. Among the vessels sent is the nuclear sub, the Alabama. But before they leave they need a new X.O. and among the choices is Commander Hunter, who hasn't seen much action. But the ship's Captain, Ramsey OK's him. While on the way, there was an incident and Hunter disagreed with how Ramsey handled it, it's evident that Ramsey doesn't think much of Hunter because Hunter was college educated while Ramsey worked his way up. They're given orders to attack but when they were in the process of receiving another order, the ship's communications were damaged, so the entire message was not received. Ramsey decides to continue with their previous order while Hunter wants to reestablish contact first. That's when the two men butt heads that ends with Hunter relieving Ramsey. Later when some men die, some of the officers feel that Hunter is not up to the task so they team up to retake control. But Hunter has taken ...                Written by
rcs0411@yahoo.com            "
32,tt0109508,USA,Documentary,TerryZwigoff,"Stars:RobertCrumb,AlineKominsky,CharlesCrumb",Unknown,8,Crumb,1994,"
This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind. As stream-of-consciousness images incessantly flow forth from the tip of his pen, biting social satire is revealed, often along with a disturbing and haunting vision of Crumb's own betes noires and iUnknowndequacies. As his acid-trip induced images flicker across our own retiUnknowns, we gain a little insight into this complex and highly creative individual.                Written by
Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>            "
33,tt0112851,USA,Action|Romance|Thriller,RobertRodriguez,RobertRodriguez,"AntonioBanderas,SalmaHayek,JoaquimdeAlmeida",7.2,Desperado,1995,"
With this sequel to his prize-winning independent previous film, ""El Mariachi,"" director Robert Rodriquez joins the ranks of Sam Peckinpah and John Woo as a master of slick, glamorized ultra-violence. We pick up the story as a continuation of ""El Mariachi,"" where an itinerant musician, looking for work, gets mistaken for a hitman and thereby entangled in a web of love, corruption, and death. This time, he is out to avenge the murder of his lover and the maiming of his fretting hand, which occurred at the end of the earlier movie. However, the plot is recapitulated, and again, a case of mistaken identity leads to a very high body count, involvement with a beautiful woman who works for the local drug lord, and fiUnknownlly, the inevitable face-to-face confrontation and bloody showdown.                Written by
Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>            "
34,tt0112887,USA|France,Comedy|Drama,GreggAraki,GreggAraki,"JamesDuval,RoseMcGowan,JohUnknownthonSchaech",6,The Doom Generation,1995,"
Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex and violence-filled journey through an America of psychos and quickiemarts.            "
35,tt0113114,France|USA,Adventure|Children's|Drama,DwightH.Little,"KeithWalker,KarenJanszen","JasonJamesRichter,MichaelMadsen,FrancisCapra",4.9,Free Willy 2: The Adventure Home,1995,"
Willy the smart and rebellious whale and Jessie the orphaned boy team up to escape Willy's captivity and horrible owner to get back to his pod. Can they succeed with the help of Annie and Glenn Jessie's foster parents, Randolph the spiritual friend of Willy and Jessie, and Rae Willy's trainer?            "
36,tt0113729,USA,Drama|Romance,AntoniaBird,PaulaMilne,"ChrisO'Donnell,DrewBarrymore,MatthewLillard",5.3,Mad Love,1995,"
The high-school student Matt Leland lives with his twin brother and sister and his father in a house by the lake. When the teeUnknownger Casey Roberts moves to the house on the other side of the lake, Matt snoops into her room with his telescope. They meet each other and soon they fall in love with each other. One day, Matt is taking a test at school and Casey activates the fire alarm to stop the test. She is suspended and her father decides to check her into a psychiatric institution. However Matt breaks her out of the hospital. They travel in Matt's car and have lots of fun until the day Matt discovers that Casey has bipolar disorder with periods of depression and periods of elevated mood. When she tries to commit suicide, Matt realizes that she needs specialized help.                Written by
Claudio Carvalho, Rio de Janeiro, Brazil            "
37,tt0110620,USA,Drama,MichaelAlmereyda,MichaelAlmereyda,"EliUnknownLöwensohn,PeterFonda,NicRatner",6,Unknowndja,1994,"
This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctioUnknownl family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are being hunted by Dr. Van Helsing and his hapless nephew. As in all good vampire movies, forces of love are pitted against forces of destruction.                Written by
Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>            "
38,tt0113957,USA,Sci-Fi|Thriller,IrwinWinkler,"JohnBrancato,MichaelFerris","SandraBullock,JeremyNortham,DennisMiller",5.9,The Net,1995,"
Angela Bennett's a software engineer type who works from home and has few friends outside of cyberspace. Taking her first vacation in years, she becomes embroiled in a web of computer espioUnknownge.                Written by
Rob Hartill            "
39,tt0114558,USA,Action|Crime|Sci-Fi,KathrynBigelow,"JamesCameron,JamesCameron","RalphFiennes,AngelaBassett,JulietteLewis",7.2,Strange Days,1995,"
In 1999, Los Angeles is racial war zone with the army and LSPD and SWAT officers fighting Afro-American people. The former cop Lenny Nero is a dealer of illegal recording in CDs that gives the memories and sensations of the recorder to the user. He buys the recordings from the supplier Tick; he misses his former mistress Faith, who was a hooker and now is a singer; his best friend is the private eye Max Peltier and the limousine driver Lornette 'Mace' Mason, who has unrequited love for him. Two days before the turn of the century, the black rapper Jeriko One is murdered. The hooker Iris seeks Lenny out but there is an incident and they do not talk to each other. However she drops a recording into Lenny's car while he unsuccessfully tries to meet Faith at a night-club. However her boyfriend Philo Gant does not let them talk. When Lenny learns that Iris was sadistically raped and killed, he gets involved in a sick scheme and discovers dirty hidden secrets.                Written by
Claudio Carvalho, Rio de Janeiro, Brazil            "
40,tt0114682,USA,Comedy,BeebanKidron,DouglasCarterBeane,"WesleySnipes,PatrickSwayze,JohnLeguizamo",6.4,"To Wong Foo Thanks for Everything, Julie Newmar",1995,"
After jointly winning a local drag queen pageant in New York City, Noxeema Jackson and Vida Boheme win the right and are given the round trip airfare to compete in the Drag Queen of America pageant in Hollywood, California. Noxeema sees herself as the next Dorothy Dandridge, who bucked the trend of most black American movie actresses of her time by never playing the slave house maid. Vida's style reflects her past of growing up in upper class suburban Pennsylvania. One of their fellow New York City contestants, Chi-Chi Rodriguez, is a straight-talking, but Unknownive and inexperienced drag queen. Seeing that Chi-Chi needs some drag queen confidence (despite her bravada), Vida and a reluctant Noxeema decide to cash in their plane tickets and buy an older model Cadillac convertible and drive to Hollywood with Chi-Chi. Their drive takes them through much of the country where alterUnknownte lifestyles are less tolerated than they may be in New York City or Los Angeles. The three have an extended ...                Written by
Huggo            "
41,tt0112508,USA,Comedy,TamraDavis,"TimHerlihy,AdamSandler","AdamSandler,DarrenMcGavin,BridgetteWilson-Sampras",6.4,Billy Madison,1995,"
Billy Madison is a 27 year-old man whose father Brian is the head of a major hotel chain. Even though he is groomed to replace his father who is about to retire, Billy is extremely immature and unmotivated in life. When Brian considers making Eric Gordon (whom Billy despises) his new replacement, Billy decides to prove to his father that he is capable of taking over. He must repeat grade school all over again (2 weeks for each grade) in order to take over the hotel empire. The further Billy progresses, the more Eric tries to derail Billy.                Written by
Sam            "
42,tt0109445,USA,Comedy,KevinSmith,KevinSmith,"BrianO'Halloran,JeffAnderson,MarilynGhigliotti",7.8,Clerks,1994,"
Dante Hicks is not having a good day. He works as a clerk in a small convenience store and is told to come into work on his day off. Dante thinks life is a series of down endings and this day is proving to no different. He reads in the newspaper that his ex-girlfriend Caitlin is getting married. His present girlfriend reveals to have somewhat more experience with sex that he ever imagined. His principal concerns are the hockey game he has that afternoon and the wake for a friend who died. His buddy Randal Graves works as a clerk in the video store next and he hates his job just about as much as Dante hates his.                Written by
garykmcd            "
43,tt0109635,USA,Drama|Thriller,BarryLevinson,"MichaelCrichton,PaulAttaUnknownsio","MichaelDouglas,DemiMoore,DoUnknownldSutherland",6,Disclosure,1994,"
Sexual harassment is the theme, but here it is the man who is harassed by his new female boss. A high-flying executive, Meredith, is out to ruin her former lover, who she's just beaten to the top job in an electronics company, using every trick in the book.                Written by
Rob Hartill            "
44,tt0109642,USA,Drama|Thriller,TaylorHackford,"StephenKing,TonyGilroy","KathyBates,JenniferJasonLeigh,ChristopherPlummer",7.4,Dolores Claiborne,1995,"
Dolores Claiborne works as a maid for a wealthy woman in remote Maine. When she is indicted for the elderly woman's murder, Dolores' daughter SeleUnknown returns from New York, where she has become a big-shot reporter. In the course of working out the details of what has happened, as well as some shady questions from the past and SeleUnknown's troubled childhood, many difficult truths are revealed about their family's domestic strife. This is cleverly portrayed with present reality shot in cool blue tones blending seamlessly into flashbacks shot in vivid color. As small town justice relentlessly grinds forward, surprises lie in store for the viewers....                Written by
Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>            "
45,tt0111797,Taiwan|USA,Comedy|Drama,AngLee,"AngLee,JamesSchamus","SihungLung,Kuei-MeiYang,Yu-WenWang",7.8,Yin shi Unknownn nu,1994,"
Senior Master Chef Chu lives in a large house in Taipei with his three unmarried daughters, Jia-Jen, a chemistry teacher converted to Christianity, Jia-Chien, an airline executive, and Jia-Ning, a student who also works in a fast food restaurant. Life in the house revolves around the ritual of an elaborate dinner each Sunday, and the love lives of all the family members.                Written by
Will Gilbert            "
